filename,sample_ID,path,accession,study,biosample_accession,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,ccs_algorithm,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,notes
m84046_231202_071034_s1.hifi_reads.bc2052.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2052.bam,SRR29483098,SRP305758,SAMN17861235,3429635,75651333730,75.65,51.0,72539.0,22058,18204,21031,24921,18986,22251,26513,HG01361.HFSS3_m84046_231202_071034_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 27kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_071034_s1.hifi_reads.bc2052.bam,HG01361,s3://human-pangenomics/working/HPRC/HG01361/raw_data/PacBio_HiFi/m84046_231202_071034_s1.hifi_reads.bc2052.bam,SRR29483098,SRP305758,SAMN17861235,3429635,75651333730,75.65,51.0,72539.0,22058,18204,21031,24921,18986,22251,26513,HG01361.HFSS3_m84046_231202_071034_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 27kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_090949_s3.hifi_reads.bc2054.bam,HG01258,s3://human-pangenomics/working/HPRC/HG01258/raw_data/PacBio_HiFi/m84046_231202_090949_s3.hifi_reads.bc2054.bam,SRR29483154,SRP305758,SAMN17861233,2453786,50288278175,50.29,74.0,65204.0,20494,17228,19622,22959,17826,20574,24233,HG01258.HFSS2_m84046_231202_090949_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_231202_110908_s4.hifi_reads.bc2056.bam,HG03516,s3://human-pangenomics/working/HPRC/HG03516/raw_data/PacBio_HiFi/m84046_231202_110908_s4.hifi_reads.bc2056.bam,SRR29483076,SRP305758,SAMN17861241,3833995,69896055959,69.9,72.0,68453.0,18230,15348,17425,20374,15849,18248,21503,HG03516.HFSS_m84046_231202_110908_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v8.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230517_211630_s4.hifi_reads.bc2052.bam,NA20752,s3://human-pangenomics/working/HPRC/NA20752/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2052.bam,SRR29483087,SRP305758,SAMN33758800,3186209,66145642174,66.15,295.0,59161.0,20759,17598,19991,23277,18178,20893,24415,PG20752.HFSS_m84046_230517_211630_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 23kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230623_210640_s1.hifi_reads.bc2019.bam,HG03139,s3://human-pangenomics/working/HPRC/HG03139/raw_data/PacBio_HiFi/m84046_230623_210640_s1.hifi_reads.bc2019.bam,SRR29483073,SRP305758,SAMN33758792,453258,9203503033,9.2,576.0,53529.0,20305,16759,19438,22972,17513,20548,24391,HG03139.HFSS_m84046_230623_210640_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230623_210640_s1.hifi_reads.bc2019.bam,HG03139,s3://human-pangenomics/working/HPRC/HG03139/raw_data/PacBio_HiFi/m84046_230623_210640_s1.hifi_reads.bc2019.bam,SRR29483073,SRP305758,SAMN33758792,453258,9203503033,9.2,576.0,53529.0,20305,16759,19438,22972,17513,20548,24391,HG03139.HFSS_m84046_230623_210640_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230602_220440_s3.hifi_reads.bc2019.bam,HG03139,s3://human-pangenomics/working/HPRC/HG03139/raw_data/PacBio_HiFi/m84046_230602_220440_s3.hifi_reads.bc2019.bam,SRR29483267,SRP305758,SAMN33758792,1418934,29658674895,29.66,373.0,65959.0,20902,17129,20033,23812,17994,21265,25337,HG03139.HFSS_m84046_230602_220440_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230602_220440_s3.hifi_reads.bc2019.bam,HG03139,s3://human-pangenomics/working/HPRC/HG03139/raw_data/PacBio_HiFi/m84046_230602_220440_s3.hifi_reads.bc2019.bam,SRR29483267,SRP305758,SAMN33758792,1418934,29658674895,29.66,373.0,65959.0,20902,17129,20033,23812,17994,21265,25337,HG03139.HFSS_m84046_230602_220440_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 25kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230909_231800_s4.hifi_reads.bc2035.bam,NA19190,s3://human-pangenomics/working/HPRC/NA19190/raw_data/PacBio_HiFi/m84046_230909_231800_s4.hifi_reads.bc2035.bam,SRR29483258,SRP305758,SAMN41021688,5285173,108911448346,108.91,118.0,73514.0,20606,17453,19823,23101,18062,20748,24325,PG19190.HFSS_m84046_230909_231800_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 24kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230909_231800_s4.hifi_reads.bc2035.bam,NA19190,s3://human-pangenomics/working/HPRC/NA19190/raw_data/PacBio_HiFi/m84046_230909_231800_s4.hifi_reads.bc2035.bam,SRR29483258,SRP305758,SAMN41021688,5285173,108911448346,108.91,118.0,73514.0,20606,17453,19823,23101,18062,20748,24325,PG19190.HFSS_m84046_230909_231800_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 24kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230913_204538_s3.hifi_reads.bc2035.bam,NA19190,s3://human-pangenomics/working/HPRC/NA19190/raw_data/PacBio_HiFi/m84046_230913_204538_s3.hifi_reads.bc2035.bam,SRR29483264,SRP305758,SAMN41021688,5459074,112259504727,112.26,122.0,65090.0,20563,17426,19786,23023,18034,20697,24253,PG19190.HFSS_m84046_230913_204538_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 24kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230913_204538_s3.hifi_reads.bc2035.bam,NA19190,s3://human-pangenomics/working/HPRC/NA19190/raw_data/PacBio_HiFi/m84046_230913_204538_s3.hifi_reads.bc2035.bam,SRR29483264,SRP305758,SAMN41021688,5459074,112259504727,112.26,122.0,65090.0,20563,17426,19786,23023,18034,20697,24253,PG19190.HFSS_m84046_230913_204538_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 24kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230720_182350_s1.hifi_reads.bc2005.bam,HG01346,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m84046_230720_182350_s1.hifi_reads.bc2005.bam,SRR29483239,SRP305758,SAMN26267379,3730708,67031281657,67.03,76.0,68536.0,17967,15338,17299,20105,15796,18026,21068,HG01346.HFSS2_m84046_230720_182350_s1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230722_180255_s3.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230722_180255_s3.hifi_reads.bc2080.bam,SRR29483206,SRP305758,SAMN41021677,3526179,64399312194,64.4,84.0,49504.0,18263,15999,17881,20244,16433,18442,20924,PG03136.HFSS_m84046_230722_180255_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230722_180255_s3.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230722_180255_s3.hifi_reads.bc2080.bam,SRR29483206,SRP305758,SAMN41021677,3526179,64399312194,64.4,84.0,49504.0,18263,15999,17881,20244,16433,18442,20924,PG03136.HFSS_m84046_230722_180255_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230722_180255_s3.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230722_180255_s3.hifi_reads.bc2080.bam,SRR29483206,SRP305758,SAMN41021677,3526179,64399312194,64.4,84.0,49504.0,18263,15999,17881,20244,16433,18442,20924,PG03136.HFSS_m84046_230722_180255_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230722_183401_s4.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230722_183401_s4.hifi_reads.bc2080.bam,SRR29483217,SRP305758,SAMN41021677,3710029,67421766467,67.42,89.0,50197.0,18172,15927,17794,20134,16357,18349,20811,PG03136.HFSS_m84046_230722_183401_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230722_183401_s4.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230722_183401_s4.hifi_reads.bc2080.bam,SRR29483217,SRP305758,SAMN41021677,3710029,67421766467,67.42,89.0,50197.0,18172,15927,17794,20134,16357,18349,20811,PG03136.HFSS_m84046_230722_183401_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230722_183401_s4.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230722_183401_s4.hifi_reads.bc2080.bam,SRR29483217,SRP305758,SAMN41021677,3710029,67421766467,67.42,89.0,50197.0,18172,15927,17794,20134,16357,18349,20811,PG03136.HFSS_m84046_230722_183401_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230721_192545_s2.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230721_192545_s2.hifi_reads.bc2080.bam,SRR29483136,SRP305758,SAMN41021677,3365913,61280281634,61.28,85.0,50586.0,18206,15959,17828,20169,16386,18383,20842,PG03136.HFSS_m84046_230721_192545_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230721_192545_s2.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230721_192545_s2.hifi_reads.bc2080.bam,SRR29483136,SRP305758,SAMN41021677,3365913,61280281634,61.28,85.0,50586.0,18206,15959,17828,20169,16386,18383,20842,PG03136.HFSS_m84046_230721_192545_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230721_192545_s2.hifi_reads.bc2080.bam,HG03136,s3://human-pangenomics/working/HPRC/HG03136/raw_data/PacBio_HiFi/m84046_230721_192545_s2.hifi_reads.bc2080.bam,SRR29483136,SRP305758,SAMN41021677,3365913,61280281634,61.28,85.0,50586.0,18206,15959,17828,20169,16386,18383,20842,PG03136.HFSS_m84046_230721_192545_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 21kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230719_001055_s4.hifi_reads.bc2061.bam,HG01074,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2061.bam,SRR29483147,SRP305758,SAMN33758782,903402,18474875553,18.47,270.0,56330.0,20450,17126,19537,22909,17745,20525,24244,HG01074.HFSS3_m84046_230719_001055_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230719_001055_s4.hifi_reads.bc2061.bam,HG01074,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2061.bam,SRR29483147,SRP305758,SAMN33758782,903402,18474875553,18.47,270.0,56330.0,20450,17126,19537,22909,17745,20525,24244,HG01074.HFSS3_m84046_230719_001055_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230712_231732_s2.hifi_reads.bc2061.bam,HG01074,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2061.bam,SRR29483186,SRP305758,SAMN33758782,1789356,36576237795,36.58,73.0,62885.0,20441,17105,19521,22903,17727,20515,24254,HG01074.HFSS3_m84046_230712_231732_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230712_231732_s2.hifi_reads.bc2061.bam,HG01074,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2061.bam,SRR29483186,SRP305758,SAMN33758782,1789356,36576237795,36.58,73.0,62885.0,20441,17105,19521,22903,17727,20515,24254,HG01074.HFSS3_m84046_230712_231732_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 26kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230712_231732_s2.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam,SRR29483197,SRP305758,SAMN41021654,1112115,20631179910,20.63,102.0,52872.0,18551,15806,17792,20634,16260,18532,21668,PG00350.HFSS_m84046_230712_231732_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230712_231732_s2.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam,SRR29483197,SRP305758,SAMN41021654,1112115,20631179910,20.63,102.0,52872.0,18551,15806,17792,20634,16260,18532,21668,PG00350.HFSS_m84046_230712_231732_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230712_231732_s2.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.bc2048.bam,SRR29483197,SRP305758,SAMN41021654,1112115,20631179910,20.63,102.0,52872.0,18551,15806,17792,20634,16260,18532,21668,PG00350.HFSS_m84046_230712_231732_s2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230703_222200_s3.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam,SRR29483185,SRP305758,SAMN41021654,6393106,117048570883,117.05,101.0,54183.0,18308,15675,17565,20287,16096,18257,21259,PG00350.HFSS_m84046_230703_222200_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230703_222200_s3.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam,SRR29483185,SRP305758,SAMN41021654,6393106,117048570883,117.05,101.0,54183.0,18308,15675,17565,20287,16096,18257,21259,PG00350.HFSS_m84046_230703_222200_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230703_222200_s3.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230703_222200_s3.hifi_reads.bc2048.bam,SRR29483185,SRP305758,SAMN41021654,6393106,117048570883,117.05,101.0,54183.0,18308,15675,17565,20287,16096,18257,21259,PG00350.HFSS_m84046_230703_222200_s3,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230701_000218_s4.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230701_000218_s4.hifi_reads.bc2048.bam,SRR29483126,SRP305758,SAMN41021654,3605979,65979378041,65.98,78.0,66787.0,18297,15669,17546,20257,16087,18236,21243,PG00350.HFSS_m84046_230701_000218_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
m84046_230701_000218_s4.hifi_reads.bc2048.bam,HG00350,s3://human-pangenomics/working/HPRC/HG00350/raw_data/PacBio_HiFi/m84046_230701_000218_s4.hifi_reads.bc2048.bam,SRR29483126,SRP305758,SAMN41021654,3605979,65979378041,65.98,78.0,66787.0,18297,15669,17546,20257,16087,18236,21243,PG00350.HFSS_m84046_230701_000218_s4,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Revio,HiFi sequencing of 22kb fractionated gDNA,unaligned reads,Megaruptor 3,Pippin HT,v7.0.0,P1,C1,University of Washington,kmiyamot@uw.edu,
