title	type	Description	Sample	Organism Name	Project Type	Sample Scope	LocusTagPrefix	Relevance	Target Material	Organization Name	Organization Type	Organization Role	Contact First Name	Contact Last Name	Contact Email
Assembly of HG01258 Maternal Haplotype	Genome sequencing and assembly	HG01258 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01258	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03579 Maternal Haplotype	Genome sequencing and assembly	HG03579 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03579	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03579 Maternal Haplotype	Genome sequencing and assembly	HG03579 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03579	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03453 Maternal Haplotype	Genome sequencing and assembly	HG03453 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03453	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03453 Maternal Haplotype	Genome sequencing and assembly	HG03453 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03453	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01109 Maternal Haplotype	Genome sequencing and assembly	HG01109 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01109	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01109 Maternal Haplotype	Genome sequencing and assembly	HG01109 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01109	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02717 Maternal Haplotype	Genome sequencing and assembly	HG02717 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02717	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02717 Maternal Haplotype	Genome sequencing and assembly	HG02717 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02717	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03098 Maternal Haplotype	Genome sequencing and assembly	HG03098 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03098	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03098 Maternal Haplotype	Genome sequencing and assembly	HG03098 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03098	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02257 Maternal Haplotype	Genome sequencing and assembly	HG02257 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02257	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02257 Maternal Haplotype	Genome sequencing and assembly	HG02257 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02257	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02886 Maternal Haplotype	Genome sequencing and assembly	HG02886 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02886	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02886 Maternal Haplotype	Genome sequencing and assembly	HG02886 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02886	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00673 Maternal Haplotype	Genome sequencing and assembly	HG00673 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00673	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00673 Maternal Haplotype	Genome sequencing and assembly	HG00673 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00673	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00741 Maternal Haplotype	Genome sequencing and assembly	HG00741 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00741	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00741 Maternal Haplotype	Genome sequencing and assembly	HG00741 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00741	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03516 Maternal Haplotype	Genome sequencing and assembly	HG03516 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03516	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03516 Maternal Haplotype	Genome sequencing and assembly	HG03516 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03516	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00735 Maternal Haplotype	Genome sequencing and assembly	HG00735 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00735	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00735 Maternal Haplotype	Genome sequencing and assembly	HG00735 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00735	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01358 Maternal Haplotype	Genome sequencing and assembly	HG01358 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01358	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01358 Maternal Haplotype	Genome sequencing and assembly	HG01358 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01358	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02622 Maternal Haplotype	Genome sequencing and assembly	HG02622 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02622	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02622 Maternal Haplotype	Genome sequencing and assembly	HG02622 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02622	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02572 Maternal Haplotype	Genome sequencing and assembly	HG02572 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02572	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02572 Maternal Haplotype	Genome sequencing and assembly	HG02572 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02572	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00621 Maternal Haplotype	Genome sequencing and assembly	HG00621 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00621	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00621 Maternal Haplotype	Genome sequencing and assembly	HG00621 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00621	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02145 Maternal Haplotype	Genome sequencing and assembly	HG02145 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02145	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02145 Maternal Haplotype	Genome sequencing and assembly	HG02145 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02145	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00733 Maternal Haplotype	Genome sequencing and assembly	HG00733 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00733	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00733 Maternal Haplotype	Genome sequencing and assembly	HG00733 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00733	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01106 Maternal Haplotype	Genome sequencing and assembly	HG01106 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01106	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01106 Maternal Haplotype	Genome sequencing and assembly	HG01106 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01106	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00438 Maternal Haplotype	Genome sequencing and assembly	HG00438 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00438	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00438 Maternal Haplotype	Genome sequencing and assembly	HG00438 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00438	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA20129 Maternal Haplotype	Genome sequencing and assembly	NA20129 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA20129	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA20129 Maternal Haplotype	Genome sequencing and assembly	NA20129 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA20129	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01175 Maternal Haplotype	Genome sequencing and assembly	HG01175 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01175	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01175 Maternal Haplotype	Genome sequencing and assembly	HG01175 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01175	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02148 Maternal Haplotype	Genome sequencing and assembly	HG02148 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02148	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02148 Maternal Haplotype	Genome sequencing and assembly	HG02148 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02148	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02080 Maternal Haplotype	Genome sequencing and assembly	HG02080 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02080	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02080 Maternal Haplotype	Genome sequencing and assembly	HG02080 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02080	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01071 Maternal Haplotype	Genome sequencing and assembly	HG01071 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01071	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01071 Maternal Haplotype	Genome sequencing and assembly	HG01071 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01071	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01891 Maternal Haplotype	Genome sequencing and assembly	HG01891 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01891	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01891 Maternal Haplotype	Genome sequencing and assembly	HG01891 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01891	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01361 Maternal Haplotype	Genome sequencing and assembly	HG01361 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01361	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01361 Maternal Haplotype	Genome sequencing and assembly	HG01361 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01361	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02055 Maternal Haplotype	Genome sequencing and assembly	HG02055 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02055	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02055 Maternal Haplotype	Genome sequencing and assembly	HG02055 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02055	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02818 Maternal Haplotype	Genome sequencing and assembly	HG02818 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02818	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02818 Maternal Haplotype	Genome sequencing and assembly	HG02818 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02818	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02723 Maternal Haplotype	Genome sequencing and assembly	HG02723 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02723	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02723 Maternal Haplotype	Genome sequencing and assembly	HG02723 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02723	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01123 Maternal Haplotype	Genome sequencing and assembly	HG01123 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01123	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG01123 Maternal Haplotype	Genome sequencing and assembly	HG01123 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01123	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19240 Maternal Haplotype	Genome sequencing and assembly	NA19240 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA19240	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19240 Maternal Haplotype	Genome sequencing and assembly	NA19240 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA19240	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
