title	type	Description	Sample	Organism Name	Project Type	Sample Scope	LocusTagPrefix	Relevance	Target Material	Organization Name	Organization Type	Organization Role	Contact First Name	Contact Last Name	Contact Email
Assembly of HG03130 Haplotype 1	Genome sequencing and assembly	HG03130 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03130	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03130 Haplotype 2	Genome sequencing and assembly	HG03130 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03130	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03209 Haplotype 1	Genome sequencing and assembly	HG03209 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03209	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03209 Haplotype 2	Genome sequencing and assembly	HG03209 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03209	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18522 Haplotype 1	Genome sequencing and assembly	NA18522 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18522	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18522 Haplotype 2	Genome sequencing and assembly	NA18522 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18522	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19338 Haplotype 1	Genome sequencing and assembly	NA19338 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19338	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19338 Haplotype 2	Genome sequencing and assembly	NA19338 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19338	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19391 Haplotype 1	Genome sequencing and assembly	NA19391 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19391	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19391 Haplotype 2	Genome sequencing and assembly	NA19391 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19391	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19468 Haplotype 1	Genome sequencing and assembly	NA19468 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19468	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19468 Haplotype 2	Genome sequencing and assembly	NA19468 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19468	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03470 Haplotype 1	Genome sequencing and assembly	HG03470 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03470	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03470 Haplotype 2	Genome sequencing and assembly	HG03470 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03470	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03458 Haplotype 1	Genome sequencing and assembly	HG03458 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03458	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03458 Haplotype 2	Genome sequencing and assembly	HG03458 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03458	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18971 Haplotype 1	Genome sequencing and assembly	NA18971 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18971	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18971 Haplotype 2	Genome sequencing and assembly	NA18971 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18971	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02155 Haplotype 1	Genome sequencing and assembly	HG02155 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02155	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02155 Haplotype 2	Genome sequencing and assembly	HG02155 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02155	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18612 Haplotype 1	Genome sequencing and assembly	NA18612 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18612	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18612 Haplotype 2	Genome sequencing and assembly	NA18612 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18612	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00140 Haplotype 1	Genome sequencing and assembly	HG00140 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG00140	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00140 Haplotype 2	Genome sequencing and assembly	HG00140 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG00140	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00323 Haplotype 1	Genome sequencing and assembly	HG00323 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG00323	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00323 Haplotype 2	Genome sequencing and assembly	HG00323 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG00323	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02922 Haplotype 1	Genome sequencing and assembly	HG02922 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02922	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02922 Haplotype 2	Genome sequencing and assembly	HG02922 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02922	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02165 Haplotype 1	Genome sequencing and assembly	HG02165 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02165	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02165 Haplotype 2	Genome sequencing and assembly	HG02165 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02165	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18983 Haplotype 1	Genome sequencing and assembly	NA18983 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18983	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18983 Haplotype 2	Genome sequencing and assembly	NA18983 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18983	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02040 Haplotype 1	Genome sequencing and assembly	HG02040 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02040	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02040 Haplotype 2	Genome sequencing and assembly	HG02040 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02040	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18747 Haplotype 1	Genome sequencing and assembly	NA18747 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18747	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18747 Haplotype 2	Genome sequencing and assembly	NA18747 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18747	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19159 Haplotype 1	Genome sequencing and assembly	NA19159 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19159	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19159 Haplotype 2	Genome sequencing and assembly	NA19159 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19159	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19185 Haplotype 1	Genome sequencing and assembly	NA19185 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19185	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19185 Haplotype 2	Genome sequencing and assembly	NA19185 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19185	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02391 Haplotype 1	Genome sequencing and assembly	HG02391 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02391	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG02391 Haplotype 2	Genome sequencing and assembly	HG02391 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG02391	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18570 Haplotype 1	Genome sequencing and assembly	NA18570 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18570	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA18570 Haplotype 2	Genome sequencing and assembly	NA18570 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA18570	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19087 Haplotype 1	Genome sequencing and assembly	NA19087 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19087	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA19087 Haplotype 2	Genome sequencing and assembly	NA19087 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA19087	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA20805 Haplotype 1	Genome sequencing and assembly	NA20805 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA20805	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA20805 Haplotype 2	Genome sequencing and assembly	NA20805 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA20805	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03792 Haplotype 1	Genome sequencing and assembly	HG03792 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03792	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG03792 Haplotype 2	Genome sequencing and assembly	HG03792 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG03792	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA20858 Haplotype 1	Genome sequencing and assembly	NA20858 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA20858	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of NA20858 Haplotype 2	Genome sequencing and assembly	NA20858 haplotype 2 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	NA20858	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
Assembly of HG00099 Haplotype 1	Genome sequencing and assembly	HG00099 haplotype1 assembly generated by the Human Pangenome Reference Consortium using HiC phasing. Mitochondrial sequences are included in haplotype 2. For male samples, chrY sequences are included in haplotype 1 and chrX sequences are included in haplotype 2.	HG00099	Homo sapiens	Genome sequencing and assembly	Monoisolate	auto	Medical	Genome	UC Santa Cruz Genomics Institute	Institute	owner	Karen	Miga	khmiga@ucsc.edu
